--- Atoms: 
CONJESTED('545_851') Truth=[0]
CONJESTED('653_1016') Truth=[0.85]
CONJESTED('989_101') Truth=[0]
CONJESTED('729_1180') Truth=[1]
CONJESTED('1024_892') Truth=[0.08]
CONJESTED('1025_211') Truth=[0.49]
CONJESTED('71_55') Truth=[0.32]
CONJESTED('484_1253') Truth=[0.56]
CONJESTED('539_1279') Truth=[0.17]
CONJESTED('834_912') Truth=[1]
CONJESTED('1377_776') Truth=[0.76]
CONJESTED('1046_953') Truth=[1]
CONJESTED('1372_1304') Truth=[0.29]
CONJESTED('767_1095') Truth=[0.41]
CONJESTED('1371_52') Truth=[1]
CONJESTED('1208_950') Truth=[0.5]
CONJESTED('890_828') Truth=[0.62]
CONJESTED('1040_657') Truth=[0.05]
CONJESTED('835_726') Truth=[0.21]
CONJESTED('877_473') Truth=[1]
CONJESTED('447_1184') Truth=[1]
CONJESTED('75_501') Truth=[0.5]
CONJESTED('140_59') Truth=[0.06]
CONJESTED('63_282') Truth=[0.05]
CONJESTED('1290_460') Truth=[0.89]
CONJESTED('707_627') Truth=[1]
CONJESTED('1265_675') Truth=[0]
CONJESTED('542_195') Truth=[0]
CONJESTED('401_848') Truth=[0.81]
CONJESTED('289_259') Truth=[0.84]
CONJESTED('951_369') Truth=[0.89]
CONJESTED('1163_172') Truth=[0.07]
CONJESTED('1368_721') Truth=[0]
CONJESTED('354_1258') Truth=[1]
CONJESTED('437_1301') Truth=[1]
CONJESTED('1324_80') Truth=[0.19]
CONJESTED('94_392') Truth=[0.72]
CONJESTED('506_1262') Truth=[0.02]
CONJESTED('54_493') Truth=[0.72]
CONJESTED('134_823') Truth=[1]
CONJESTED('1196_1175') Truth=[0.04]
CONJESTED('135_1019') Truth=[0.7]
CONJESTED('540_1256') Truth=[1]
CONJESTED('417_1257') Truth=[0.61]
CONJESTED('1214_1269') Truth=[0.15]
CONJESTED('709_489') Truth=[1]
CONJESTED('1297_592') Truth=[1]
CONJESTED('271_967') Truth=[0.75]
CONJESTED('1075_193') Truth=[0.46]
CONJESTED('35_847') Truth=[0.38]
CONJESTED('283_1071') Truth=[0.18]
CONJESTED('1243_102') Truth=[0.28]
CONJESTED('852_25') Truth=[0.16]
CONJESTED('514_734') Truth=[1]
CONJESTED('304_827') Truth=[1]
CONJESTED('861_782') Truth=[0]
CONJESTED('1168_453') Truth=[0.56]
CONJESTED('1071_774') Truth=[0.5]
CONJESTED('36_885') Truth=[1]
CONJESTED('673_925') Truth=[0.03]
CONJESTED('676_381') Truth=[0.09]
CONJESTED('402_412') Truth=[1]
CONJESTED('825_1104') Truth=[0.55]
CONJESTED('883_1320') Truth=[0.5]
CONJESTED('127_896') Truth=[0]
CONJESTED('677_183') Truth=[0.55]
CONJESTED('540_107') Truth=[1]
CONJESTED('926_1213') Truth=[0.75]
CONJESTED('194_165') Truth=[0.17]
CONJESTED('256_579') Truth=[0.45]
CONJESTED('472_637') Truth=[0]
CONJESTED('375_829') Truth=[0.04]
CONJESTED('385_480') Truth=[0]
CONJESTED('51_2') Truth=[1]
CONJESTED('487_745') Truth=[1]
CONJESTED('314_478') Truth=[0.29]
CONJESTED('1227_145') Truth=[1]
CONJESTED('776_819') Truth=[0.84]
CONJESTED('249_388') Truth=[1]
CONJESTED('585_1135') Truth=[1]
CONJESTED('645_230') Truth=[0]
CONJESTED('651_616') Truth=[0.57]
CONJESTED('168_796') Truth=[1]
CONJESTED('691_521') Truth=[1]
CONJESTED('163_1301') Truth=[0.13]
CONJESTED('433_705') Truth=[0.92]
CONJESTED('939_1112') Truth=[1]
CONJESTED('1078_420') Truth=[0.93]
CONJESTED('337_597') Truth=[0.89]
CONJESTED('543_809') Truth=[1]
CONJESTED('220_1154') Truth=[1]
CONJESTED('306_884') Truth=[1]
CONJESTED('65_926') Truth=[0.56]
CONJESTED('715_652') Truth=[1]
CONJESTED('633_1151') Truth=[0.81]
CONJESTED('4_631') Truth=[0.82]
CONJESTED('786_661') Truth=[0.76]
CONJESTED('130_573') Truth=[0.5]
CONJESTED('1164_26') Truth=[0.74]
CONJESTED('1287_934') Truth=[1]
CONJESTED('152_475') Truth=[0.2]
CONJESTED('1381_1146') Truth=[0.16]
CONJESTED('199_894') Truth=[0.44]
CONJESTED('20_991') Truth=[1]
CONJESTED('918_1278') Truth=[1]
CONJESTED('31_320') Truth=[0.72]
CONJESTED('966_48') Truth=[0.28]
CONJESTED('622_115') Truth=[0.28]
CONJESTED('784_811') Truth=[0.02]
CONJESTED('386_458') Truth=[1]
CONJESTED('1064_773') Truth=[1]
CONJESTED('1086_1046') Truth=[1]
CONJESTED('315_205') Truth=[0.43]
CONJESTED('858_860') Truth=[0.27]
CONJESTED('380_1045') Truth=[0.29]
CONJESTED('1275_1129') Truth=[0.03]
CONJESTED('137_297') Truth=[0.23]
CONJESTED('1279_784') Truth=[0.01]
CONJESTED('264_339') Truth=[0.11]
CONJESTED('473_607') Truth=[1]
CONJESTED('176_390') Truth=[0]
CONJESTED('111_1094') Truth=[0.27]
CONJESTED('634_830') Truth=[0.8]
CONJESTED('638_491') Truth=[1]
CONJESTED('319_83') Truth=[1]
CONJESTED('1169_691') Truth=[1]
CONJESTED('189_430') Truth=[0.28]
CONJESTED('604_776') Truth=[0.66]
CONJESTED('726_205') Truth=[0.33]
CONJESTED('221_803') Truth=[0.5]
CONJESTED('741_1013') Truth=[0.28]
CONJESTED('1293_1116') Truth=[0.9]
CONJESTED('105_169') Truth=[0.75]
CONJESTED('360_922') Truth=[0.93]
CONJESTED('641_863') Truth=[0.15]
CONJESTED('1144_581') Truth=[1]
CONJESTED('1301_688') Truth=[0.15]
CONJESTED('934_1212') Truth=[0.16]
CONJESTED('488_747') Truth=[0.44]
CONJESTED('977_1006') Truth=[0]
CONJESTED('1171_1119') Truth=[0]
CONJESTED('906_903') Truth=[0.42]
CONJESTED('1224_727') Truth=[1]
CONJESTED('370_326') Truth=[0.16]
CONJESTED('1335_1207') Truth=[1]
CONJESTED('1340_355') Truth=[0.57]
CONJESTED('771_1333') Truth=[0.81]
CONJESTED('1234_132') Truth=[0.43]
CONJESTED('1142_1236') Truth=[0.14]
CONJESTED('1246_849') Truth=[0.84]
CONJESTED('123_199') Truth=[0.15]
CONJESTED('942_736') Truth=[0.72]
CONJESTED('105_152') Truth=[0.31]
CONJESTED('256_539') Truth=[0.25]
CONJESTED('192_1204') Truth=[0.63]
CONJESTED('1098_1357') Truth=[0.5]
CONJESTED('29_888') Truth=[1]
CONJESTED('1019_1078') Truth=[0.81]
CONJESTED('175_130') Truth=[1]
CONJESTED('216_1051') Truth=[1]
CONJESTED('875_651') Truth=[1]
CONJESTED('1015_1137') Truth=[0.75]
CONJESTED('625_401') Truth=[0.48]
CONJESTED('817_1106') Truth=[1]
CONJESTED('613_1052') Truth=[0.22]
CONJESTED('711_55') Truth=[0.41]
CONJESTED('500_452') Truth=[1]
CONJESTED('383_610') Truth=[0.62]
CONJESTED('132_1156') Truth=[0.33]
CONJESTED('564_1075') Truth=[0.36]
CONJESTED('1297_734') Truth=[1]
CONJESTED('120_135') Truth=[0.58]
CONJESTED('1156_132') Truth=[0.1]
CONJESTED('787_279') Truth=[1]
CONJESTED('125_633') Truth=[0.7]
CONJESTED('227_693') Truth=[1]
CONJESTED('986_1037') Truth=[1]
CONJESTED('208_1') Truth=[1]
CONJESTED('522_904') Truth=[1]
CONJESTED('808_236') Truth=[0.57]
CONJESTED('200_32') Truth=[0.05]
CONJESTED('412_402') Truth=[0]
CONJESTED('1191_696') Truth=[0.33]
CONJESTED('915_527') Truth=[0.17]
CONJESTED('474_615') Truth=[0.04]
CONJESTED('1314_363') Truth=[0.28]
CONJESTED('733_863') Truth=[1]
CONJESTED('332_1348') Truth=[0.22]
CONJESTED('1317_1237') Truth=[0]
CONJESTED('377_290') Truth=[0.5]
CONJESTED('876_830') Truth=[0.95]
CONJESTED('919_1005') Truth=[0.77]
CONJESTED('299_261') Truth=[0]
CONJESTED('120_388') Truth=[0.86]
