--- Atoms: 
SYBILS('85077') Truth=[0.96]
SYBILS('85078') Truth=[0.89]
SYBILS('85075') Truth=[0.87]
SYBILS('85076') Truth=[0.85]
SYBILS('85070') Truth=[0.94]
SYBILS('85071') Truth=[0.92]
SYBILS('85072') Truth=[0.94]
SYBILS('85088') Truth=[0.8]
SYBILS('85084') Truth=[0.94]
SYBILS('85086') Truth=[0.93]
SYBILS('85080') Truth=[0.96]
SYBILS('85081') Truth=[0.63]
SYBILS('85082') Truth=[0.91]
SYBILS('85083') Truth=[0.95]
SYBILS('99696') Truth=[0.74]
SYBILS('99698') Truth=[0.67]
SYBILS('99699') Truth=[0.9]
SYBILS('99692') Truth=[0.85]
SYBILS('99693') Truth=[0.72]
SYBILS('99695') Truth=[0.73]
SYBILS('99690') Truth=[0.88]
SYBILS('85055') Truth=[0.95]
SYBILS('85056') Truth=[0.76]
SYBILS('85057') Truth=[0.95]
SYBILS('85051') Truth=[0.63]
SYBILS('85052') Truth=[0.93]
SYBILS('85053') Truth=[0.92]
SYBILS('85050') Truth=[0.95]
SYBILS('85066') Truth=[0.79]
SYBILS('85068') Truth=[0.94]
SYBILS('85069') Truth=[0.93]
SYBILS('85062') Truth=[0.82]
SYBILS('85064') Truth=[0.95]
SYBILS('99678') Truth=[0.94]
SYBILS('99674') Truth=[0.92]
SYBILS('99675') Truth=[0.73]
SYBILS('99676') Truth=[0.93]
SYBILS('99670') Truth=[0.94]
SYBILS('99671') Truth=[0.72]
SYBILS('99673') Truth=[0.93]
SYBILS('85037') Truth=[0.96]
SYBILS('85038') Truth=[0.77]
SYBILS('85033') Truth=[0.63]
SYBILS('85034') Truth=[0.94]
SYBILS('85030') Truth=[0.87]
SYBILS('99689') Truth=[0.85]
SYBILS('99687') Truth=[0.71]
SYBILS('99681') Truth=[0.94]
SYBILS('99683') Truth=[0.91]
SYBILS('99684') Truth=[0.78]
SYBILS('85046') Truth=[0.96]
SYBILS('85047') Truth=[0.95]
SYBILS('85041') Truth=[0.91]
SYBILS('85042') Truth=[0.92]
SYBILS('85043') Truth=[0.95]
SYBILS('99656') Truth=[0.5]
SYBILS('99657') Truth=[0.93]
SYBILS('99659') Truth=[0.89]
SYBILS('99654') Truth=[0.72]
SYBILS('99655') Truth=[0.83]
SYBILS('99650') Truth=[0.91]
SYBILS('85009') Truth=[0.92]
SYBILS('85015') Truth=[0.87]
SYBILS('85017') Truth=[0.86]
SYBILS('85013') Truth=[0.93]
SYBILS('85010') Truth=[0.92]
SYBILS('99649') Truth=[0.89]
SYBILS('99668') Truth=[0.92]
SYBILS('99669') Truth=[0.86]
SYBILS('99664') Truth=[0.84]
SYBILS('99660') Truth=[0.91]
SYBILS('99662') Truth=[0.75]
SYBILS('85027') Truth=[0.84]
SYBILS('85029') Truth=[0.5]
SYBILS('85025') Truth=[0.93]
SYBILS('85020') Truth=[0.96]
SYBILS('85021') Truth=[0.88]
SYBILS('26734') Truth=[0.59]
SYBILS('26735') Truth=[0.36]
SYBILS('26736') Truth=[0.6]
SYBILS('26737') Truth=[0.67]
SYBILS('26738') Truth=[0.51]
SYBILS('26739') Truth=[0.55]
SYBILS('26730') Truth=[0.68]
SYBILS('26731') Truth=[0.76]
SYBILS('26732') Truth=[0.51]
SYBILS('104396') Truth=[0.83]
SYBILS('104397') Truth=[0.68]
SYBILS('26722') Truth=[0.41]
SYBILS('104390') Truth=[0.92]
SYBILS('26724') Truth=[0.62]
SYBILS('26725') Truth=[0.75]
SYBILS('26726') Truth=[0.69]
SYBILS('104393') Truth=[0.73]
SYBILS('26727') Truth=[0.76]
SYBILS('104394') Truth=[0.88]
SYBILS('26728') Truth=[0.77]
SYBILS('104395') Truth=[0.8]
SYBILS('26729') Truth=[0.58]
SYBILS('26720') Truth=[0.41]
SYBILS('26721') Truth=[0.41]
SYBILS('104385') Truth=[0.4]
SYBILS('26719') Truth=[0.66]
SYBILS('104386') Truth=[0.94]
SYBILS('104387') Truth=[0.91]
SYBILS('26712') Truth=[0.72]
SYBILS('26713') Truth=[0.61]
SYBILS('26714') Truth=[0.66]
SYBILS('104381') Truth=[0.8]
SYBILS('26715') Truth=[0.41]
SYBILS('26716') Truth=[0.53]
SYBILS('26718') Truth=[0.41]
SYBILS('26710') Truth=[0.62]
SYBILS('85095') Truth=[0.85]
SYBILS('26708') Truth=[0.55]
SYBILS('26709') Truth=[0.78]
SYBILS('85097') Truth=[0.95]
SYBILS('85098') Truth=[0.81]
SYBILS('104379') Truth=[0.91]
SYBILS('85093') Truth=[0.89]
SYBILS('26700') Truth=[0.55]
SYBILS('26701') Truth=[0.55]
SYBILS('26702') Truth=[0.81]
SYBILS('26703') Truth=[0.53]
SYBILS('26704') Truth=[0.54]
SYBILS('104371') Truth=[0.8]
SYBILS('26705') Truth=[0.78]
SYBILS('26706') Truth=[0.78]
SYBILS('26707') Truth=[0.73]
SYBILS('104364') Truth=[0.78]
SYBILS('104365') Truth=[0.86]
SYBILS('104366') Truth=[0.75]
SYBILS('104369') Truth=[0.5]
SYBILS('143968') Truth=[0.5]
SYBILS('143969') Truth=[0.83]
SYBILS('26657') Truth=[0.56]
SYBILS('51613') Truth=[0.75]
SYBILS('26658') Truth=[0.41]
SYBILS('26659') Truth=[0.77]
SYBILS('51615') Truth=[0.42]
SYBILS('51616') Truth=[0.7]
SYBILS('104481') Truth=[0.91]
SYBILS('51617') Truth=[0.76]
SYBILS('51619') Truth=[0.66]
SYBILS('26650') Truth=[0.63]
SYBILS('26651') Truth=[0.85]
SYBILS('26652') Truth=[0.6]
SYBILS('26653') Truth=[0.62]
SYBILS('26655') Truth=[0.77]
SYBILS('12016') Truth=[0.66]
SYBILS('12018') Truth=[0.86]
SYBILS('143960') Truth=[0.78]
SYBILS('104473') Truth=[0.78]
SYBILS('143961') Truth=[0.73]
SYBILS('143962') Truth=[0.73]
SYBILS('104475') Truth=[0.64]
SYBILS('104476') Truth=[0.93]
SYBILS('12010') Truth=[0.42]
SYBILS('143964') Truth=[0.85]
SYBILS('104478') Truth=[0.87]
SYBILS('12012') Truth=[0.77]
SYBILS('51620') Truth=[0.62]
SYBILS('104479') Truth=[0.46]
SYBILS('12013') Truth=[0.71]
SYBILS('51621') Truth=[0.42]
SYBILS('143967') Truth=[0.7]
SYBILS('12014') Truth=[0.84]
SYBILS('51622') Truth=[0.56]
SYBILS('143957') Truth=[0.63]
SYBILS('26645') Truth=[0.61]
SYBILS('51601') Truth=[0.57]
SYBILS('143958') Truth=[0.68]
SYBILS('26646') Truth=[0.86]
SYBILS('51602') Truth=[0.54]
SYBILS('143959') Truth=[0.89]
SYBILS('26647') Truth=[0.79]
SYBILS('51603') Truth=[0.74]
SYBILS('26648') Truth=[0.41]
SYBILS('51604') Truth=[0.74]
SYBILS('26649') Truth=[0.74]
SYBILS('51606') Truth=[0.65]
SYBILS('104471') Truth=[0.96]
SYBILS('51607') Truth=[0.42]
SYBILS('26641') Truth=[0.77]
SYBILS('26642') Truth=[0.74]
SYBILS('26643') Truth=[0.78]
SYBILS('26644') Truth=[0.73]
SYBILS('12006') Truth=[0.73]
SYBILS('12007') Truth=[0.77]
SYBILS('12008') Truth=[0.82]
SYBILS('104462') Truth=[0.92]
SYBILS('143951') Truth=[0.61]
SYBILS('12000') Truth=[0.72]
SYBILS('143954') Truth=[0.67]
SYBILS('12001') Truth=[0.83]
SYBILS('104468') Truth=[0.96]
SYBILS('12002') Truth=[0.84]
SYBILS('104469') Truth=[0.83]
SYBILS('51611') Truth=[0.74]
SYBILS('26634') Truth=[0.78]
SYBILS('51634') Truth=[0.73]
SYBILS('51635') Truth=[0.53]
SYBILS('26637') Truth=[0.66]
SYBILS('51638') Truth=[0.64]
