--- Atoms: 
T('2874', '1697') Truth=[0]
T('140', '4249') Truth=[0.42]
T('89', '3875') Truth=[0]
T('1964', '1990') Truth=[0]
T('4033', '4037') Truth=[0]
T('4033', '4038') Truth=[0]
T('2494', '1701') Truth=[0.59]
T('714', '625') Truth=[0]
T('140', '302') Truth=[0]
T('140', '301') Truth=[0]
T('4288', '3238') Truth=[0.59]
T('4046', '2147') Truth=[0]
T('4024', '244') Truth=[0]
T('4702', '1877') Truth=[0]
T('3526', '988') Truth=[0]
T('860', '1471') Truth=[0.59]
T('838', '2228') Truth=[0.17]
T('3805', '312') Truth=[0.59]
T('2637', '1884') Truth=[0]
T('4350', '718') Truth=[0]
T('2931', '4923') Truth=[0]
T('3953', '3790') Truth=[0.59]
T('3805', '314') Truth=[0.59]
T('838', '2220') Truth=[0]
T('3878', '330') Truth=[0.59]
T('1796', '3929') Truth=[0.59]
T('4221', '1393') Truth=[0.59]
T('475', '2908') Truth=[0.59]
T('4865', '4794') Truth=[0.59]
T('1193', '4448') Truth=[0.59]
T('2733', '3367') Truth=[0.59]
T('3570', '2523') Truth=[0]
T('3422', '4305') Truth=[0.59]
T('4283', '686') Truth=[0.59]
T('4655', '1506') Truth=[0.59]
T('819', '1198') Truth=[0]
T('4048', '2111') Truth=[0.59]
T('2734', '4684') Truth=[0.59]
T('4033', '4034') Truth=[0]
T('1956', '3817') Truth=[0]
T('2133', '2908') Truth=[0]
T('2147', '631') Truth=[0.59]
T('2457', '2691') Truth=[0.59]
T('4005', '3939') Truth=[0]
T('249', '2192') Truth=[0]
T('838', '968') Truth=[0]
T('2506', '4720') Truth=[0.59]
T('3465', '2902') Truth=[0]
T('2766', '60') Truth=[0.59]
T('4551', '1856') Truth=[0]
T('344', '2731') Truth=[0.59]
T('4546', '1954') Truth=[0]
T('2620', '1180') Truth=[0]
T('3582', '1975') Truth=[0]
T('1411', '4503') Truth=[0.59]
T('507', '3916') Truth=[0.59]
T('4330', '4044') Truth=[0]
T('838', '973') Truth=[0.59]
T('838', '971') Truth=[0]
T('838', '972') Truth=[0]
T('3422', '4321') Truth=[0.59]
T('1651', '2581') Truth=[0.59]
T('2335', '2353') Truth=[0]
T('731', '1265') Truth=[0.59]
T('2637', '4937') Truth=[0]
T('3332', '2736') Truth=[0.59]
T('641', '2700') Truth=[0.59]
T('726', '2692') Truth=[0]
T('641', '2702') Truth=[0.59]
T('2773', '275') Truth=[0]
T('2335', '2355') Truth=[0]
T('3647', '4365') Truth=[0.59]
T('625', '2974') Truth=[0]
T('1491', '2692') Truth=[0]
T('3785', '4447') Truth=[0]
T('4991', '1088') Truth=[0.59]
T('1525', '3654') Truth=[0.59]
T('4660', '1427') Truth=[0]
T('2448', '3225') Truth=[0.59]
T('715', '628') Truth=[0]
T('4991', '1091') Truth=[0]
T('2308', '3175') Truth=[0]
T('1121', '1360') Truth=[0.59]
T('838', '2234') Truth=[0]
T('4865', '4769') Truth=[0.59]
T('4568', '2127') Truth=[0.33]
T('2011', '3070') Truth=[0]
