--- Atoms: 
T('140', '4249') Truth=[0]
T('3252', '614') Truth=[0]
T('1964', '1990') Truth=[0]
T('4033', '4037') Truth=[0]
T('4288', '3238') Truth=[0.59]
T('1497', '1319') Truth=[0.59]
T('4702', '1877') Truth=[0]
T('1185', '4588') Truth=[0]
T('1086', '3519') Truth=[0.59]
T('1193', '4448') Truth=[0.59]
T('4497', '2920') Truth=[0.59]
T('4655', '1506') Truth=[0.59]
T('3581', '1975') Truth=[0]
T('4675', '495') Truth=[0.59]
T('3404', '628') Truth=[0]
T('4250', '4925') Truth=[0.59]
T('551', '2031') Truth=[0.59]
T('2443', '625') Truth=[0]
T('4495', '1644') Truth=[0]
T('850', '748') Truth=[0.59]
T('2633', '3645') Truth=[0]
T('178', '1622') Truth=[0.59]
T('4551', '1856') Truth=[0]
T('178', '1621') Truth=[0.59]
T('2200', '2199') Truth=[0]
T('2306', '3188') Truth=[0.59]
T('3582', '1975') Truth=[0]
T('2189', '1882') Truth=[0.59]
T('507', '3916') Truth=[0]
T('4681', '397') Truth=[0.59]
T('1651', '2581') Truth=[0]
T('4927', '3621') Truth=[0.59]
T('4646', '1671') Truth=[0.59]
T('1727', '495') Truth=[0.59]
T('3647', '4365') Truth=[0.59]
T('1491', '2692') Truth=[0]
T('2633', '4985') Truth=[0]
T('1587', '1176') Truth=[0.05]
T('1659', '3812') Truth=[0.59]
T('1341', '4490') Truth=[0.59]
T('3275', '87') Truth=[0.17]
T('2308', '3175') Truth=[0]
T('3275', '89') Truth=[0]
T('2201', '2199') Truth=[0.59]
T('3275', '86') Truth=[0.59]
T('3422', '3881') Truth=[0.59]
T('4175', '4988') Truth=[0]
T('2557', '1034') Truth=[0]
T('4287', '3206') Truth=[0]
T('3220', '4058') Truth=[0.59]
T('2609', '1330') Truth=[0]
T('1659', '1225') Truth=[0.59]
T('2609', '1331') Truth=[0]
T('507', '2605') Truth=[0]
T('4546', '4175') Truth=[0]
T('450', '2367') Truth=[0.59]
T('1496', '1370') Truth=[0]
T('1389', '1769') Truth=[0.59]
T('344', '2747') Truth=[0.59]
T('4330', '2267') Truth=[0]
T('4551', '4056') Truth=[0]
T('2773', '1943') Truth=[0]
T('2578', '4702') Truth=[0]
T('2029', '3790') Truth=[0.59]
T('3478', '4561') Truth=[0.59]
T('2044', '3537') Truth=[0.59]
T('1884', '4245') Truth=[0]
T('2633', '0') Truth=[0]
T('4546', '4164') Truth=[0]
T('450', '2391') Truth=[0]
T('3683', '2989') Truth=[0.59]
T('381', '133') Truth=[0.59]
T('4654', '1506') Truth=[0.59]
T('2781', '4093') Truth=[0]
T('3272', '2525') Truth=[0.59]
T('4068', '2744') Truth=[0]
T('3524', '2270') Truth=[0.59]
T('952', '495') Truth=[0.59]
T('2410', '1842') Truth=[0.59]
T('2212', '3304') Truth=[0]
T('3273', '3851') Truth=[0]
T('3579', '4296') Truth=[0.59]
T('4586', '1478') Truth=[0]
T('4546', '1908') Truth=[0]
T('686', '979') Truth=[0]
T('4586', '1476') Truth=[0]
T('3784', '3974') Truth=[0.59]
T('3405', '1466') Truth=[0]
T('2950', '795') Truth=[0.59]
T('3405', '1467') Truth=[0]
T('979', '3684') Truth=[0]
T('326', '846') Truth=[0]
T('4110', '1766') Truth=[0]
T('1857', '4584') Truth=[0.59]
T('1480', '1483') Truth=[0]
T('2029', '2410') Truth=[0]
T('3435', '270') Truth=[0.59]
T('558', '3378') Truth=[0.59]
T('4164', '3791') Truth=[0.12]
T('2533', '447') Truth=[0.59]
T('1801', '2578') Truth=[0.59]
T('4799', '3350') Truth=[0.59]
T('4645', '2928') Truth=[0.59]
T('558', '3371') Truth=[0.59]
T('507', '1310') Truth=[0]
T('1860', '4497') Truth=[0.59]
T('3435', '269') Truth=[0.59]
T('2339', '1839') Truth=[0.59]
T('3435', '268') Truth=[0.59]
T('2898', '526') Truth=[0]
T('3478', '4516') Truth=[0]
T('1399', '781') Truth=[0]
T('4223', '3950') Truth=[0.59]
T('3423', '3833') Truth=[0.59]
T('185', '1547') Truth=[0]
T('3148', '1816') Truth=[0]
T('2283', '1593') Truth=[0]
T('1587', '1116') Truth=[0.15]
T('2456', '3950') Truth=[0.33]
T('185', '1585') Truth=[0.09]
T('2670', '4494') Truth=[0.59]
T('2152', '4426') Truth=[0.59]
T('3835', '2976') Truth=[0]
T('1796', '3080') Truth=[0]
T('1800', '2578') Truth=[0]
T('2533', '428') Truth=[0.59]
T('1109', '1511') Truth=[0.59]
T('2261', '988') Truth=[0]
T('1571', '418') Truth=[0.59]
T('875', '2686') Truth=[0]
T('3047', '3050') Truth=[0.59]
T('2826', '4488') Truth=[0.59]
T('1056', '1222') Truth=[0.59]
T('3425', '2508') Truth=[0.59]
T('1651', '2501') Truth=[0]
T('3950', '2456') Truth=[0]
T('3003', '2216') Truth=[0.59]
T('2556', '1034') Truth=[0]
T('3362', '2380') Truth=[0.59]
T('1480', '1449') Truth=[0]
T('1907', '3539') Truth=[0.59]
T('187', '1547') Truth=[0]
T('535', '170') Truth=[0]
T('2933', '1822') Truth=[0.59]
T('2527', '526') Truth=[0.59]
T('3116', '4406') Truth=[0.59]
T('3524', '3576') Truth=[0.59]
T('1121', '1355') Truth=[0.59]
T('1121', '1356') Truth=[0.59]
T('1964', '1951') Truth=[0]
T('2389', '2527') Truth=[0.03]
T('2067', '3295') Truth=[0.59]
T('3856', '549') Truth=[0.59]
T('2007', '549') Truth=[0.1]
T('433', '495') Truth=[0.59]
T('565', '3294') Truth=[0]
T('1483', '1480') Truth=[0]
T('4228', '495') Truth=[0]
T('2533', '487') Truth=[0.59]
T('2558', '4935') Truth=[0]
T('4715', '841') Truth=[0.59]
T('3275', '74') Truth=[0.59]
T('463', '2250') Truth=[0]
T('3741', '4024') Truth=[0]
T('1898', '1894') Truth=[0.59]
T('3275', '70') Truth=[0]
T('2389', '2533') Truth=[0.59]
T('1898', '1897') Truth=[0.59]
T('4599', '486') Truth=[0.59]
T('4692', '2318') Truth=[0.59]
T('1898', '1891') Truth=[0.59]
T('4692', '2317') Truth=[0.59]
T('1898', '1890') Truth=[0.59]
T('4692', '3647') Truth=[0.59]
T('3741', '4029') Truth=[0]
T('3741', '4028') Truth=[0]
T('189', '1547') Truth=[0]
T('3741', '4026') Truth=[0]
T('3044', '3034') Truth=[0.59]
T('1234', '2203') Truth=[0.59]
T('249', '1701') Truth=[0.59]
T('3817', '1884') Truth=[0]
T('3275', '68') Truth=[0.19]
T('4956', '4558') Truth=[0.09]
T('4053', '2855') Truth=[0]
T('2863', '1764') Truth=[0]
T('1898', '1886') Truth=[0.59]
T('617', '2282') Truth=[0]
T('2395', '1106') Truth=[0.59]
T('2821', '3165') Truth=[0.59]
T('1756', '3554') Truth=[0.59]
T('1898', '1887') Truth=[0.59]
T('2395', '1107') Truth=[0.59]
T('2018', '3894') Truth=[0]
T('1898', '1889') Truth=[0.59]
T('1703', '2842') Truth=[0]
T('1587', '1143') Truth=[0.17]
T('1703', '2843') Truth=[0]
T('3858', '549') Truth=[0.59]
T('4382', '4267') Truth=[0]
T('2919', '4299') Truth=[0]
T('3579', '4205') Truth=[0.59]
T('3415', '2626') Truth=[0.59]
T('3048', '3019') Truth=[0]
T('2456', '3923') Truth=[0]
T('464', '3582') Truth=[0]
T('464', '3581') Truth=[0]
T('2429', '816') Truth=[0.59]
T('2533', '457') Truth=[0.59]
T('876', '1374') Truth=[0]
T('187', '1585') Truth=[0.59]
T('2065', '2066') Truth=[0.59]
T('4093', '1177') Truth=[0]
T('4155', '1310') Truth=[0]
T('272', '3901') Truth=[0]
T('3199', '3902') Truth=[0.59]
T('3189', '2734') Truth=[0.59]
T('2974', '2712') Truth=[0.59]
T('4322', '3746') Truth=[0]
T('276', '492') Truth=[0.59]
T('3091', '2934') Truth=[0.59]
T('2230', '3198') Truth=[0.59]
T('3740', '4110') Truth=[0.59]
T('1817', '15') Truth=[0.59]
T('1367', '4290') Truth=[0.33]
T('1171', '3419') Truth=[0]
T('2986', '485') Truth=[0]
T('1585', '2509') Truth=[0]
T('2646', '2277') Truth=[0]
T('1249', '2192') Truth=[0.59]
T('2984', '495') Truth=[0.59]
T('2821', '3247') Truth=[0.59]
T('3566', '4486') Truth=[0.59]
T('1211', '1222') Truth=[0.23]
T('2798', '1783') Truth=[0]
T('2508', '875') Truth=[0]
T('2706', '1116') Truth=[0]
T('3448', '2388') Truth=[0.59]
T('4082', '451') Truth=[0.59]
T('4330', '3614') Truth=[0]
T('4725', '1691') Truth=[0.59]
T('4004', '4470') Truth=[0.59]
T('2863', '1855') Truth=[0]
T('4229', '587') Truth=[0.59]
T('4114', '4048') Truth=[0]
T('3402', '1562') Truth=[0]
T('4088', '1297') Truth=[0]
T('4088', '1296') Truth=[0]
T('2919', '4309') Truth=[0]
T('4520', '3182') Truth=[0.59]
T('1650', '3952') Truth=[0.59]
T('1650', '3951') Truth=[0.59]
T('2377', '1415') Truth=[0.59]
T('1983', '973') Truth=[0]
T('1983', '972') Truth=[0]
T('2472', '22') Truth=[0]
T('1983', '971') Truth=[0]
T('1983', '970') Truth=[0]
T('2533', '526') Truth=[0.59]
T('1901', '1055') Truth=[0]
T('2540', '3898') Truth=[0.59]
T('2485', '1017') Truth=[0.59]
T('1956', '4399') Truth=[0]
T('1175', '4744') Truth=[0.59]
T('3333', '1498') Truth=[0.59]
T('3561', '4489') Truth=[0]
T('4068', '652') Truth=[0]
T('4151', '1310') Truth=[0]
T('96', '1930') Truth=[0.59]
T('2650', '2147') Truth=[0]
T('2390', '2527') Truth=[0.16]
T('221', '1908') Truth=[0.59]
T('3564', '3135') Truth=[0.59]
T('271', '2648') Truth=[0]
T('410', '620') Truth=[0]
T('3295', '1001') Truth=[0.59]
T('774', '732') Truth=[0.59]
T('3758', '1766') Truth=[0]
T('3410', '2713') Truth=[0.59]
T('4943', '3486') Truth=[0.59]
