--- Atoms: 
SYBILS('85073') Truth=[0.99]
SYBILS('85070') Truth=[0.98]
SYBILS('85071') Truth=[0.98]
SYBILS('85088') Truth=[0.96]
SYBILS('85089') Truth=[0.74]
SYBILS('61097') Truth=[1]
SYBILS('61098') Truth=[0.99]
SYBILS('61095') Truth=[0.99]
SYBILS('61093') Truth=[0.99]
SYBILS('85083') Truth=[0.98]
SYBILS('99693') Truth=[0.95]
SYBILS('99695') Truth=[0.92]
SYBILS('99691') Truth=[0.99]
SYBILS('85056') Truth=[0.8]
SYBILS('85050') Truth=[0.99]
SYBILS('85069') Truth=[0.99]
SYBILS('85064') Truth=[0.99]
SYBILS('85061') Truth=[0.98]
SYBILS('99679') Truth=[0.93]
SYBILS('99677') Truth=[0.98]
SYBILS('99670') Truth=[0.99]
SYBILS('99672') Truth=[0.98]
SYBILS('85037') Truth=[0.99]
SYBILS('85038') Truth=[0.95]
SYBILS('61068') Truth=[0.99]
SYBILS('85039') Truth=[0.98]
SYBILS('85035') Truth=[0.99]
SYBILS('61065') Truth=[1]
SYBILS('61062') Truth=[0.99]
SYBILS('99689') Truth=[0.96]
SYBILS('75696') Truth=[0.98]
SYBILS('99687') Truth=[0.92]
SYBILS('75693') Truth=[1]
SYBILS('99682') Truth=[0.99]
SYBILS('85048') Truth=[0.99]
SYBILS('61058') Truth=[0.99]
SYBILS('85042') Truth=[0.99]
SYBILS('85043') Truth=[0.99]
SYBILS('99656') Truth=[0.5]
SYBILS('99659') Truth=[0.98]
SYBILS('99655') Truth=[0.96]
SYBILS('99651') Truth=[0.99]
SYBILS('85015') Truth=[0.96]
SYBILS('85017') Truth=[0.98]
SYBILS('85012') Truth=[0.99]
SYBILS('85014') Truth=[0.97]
SYBILS('61085') Truth=[0.99]
SYBILS('61082') Truth=[0.99]
SYBILS('61081') Truth=[1]
SYBILS('99666') Truth=[0.99]
SYBILS('99660') Truth=[0.97]
SYBILS('99661') Truth=[0.96]
SYBILS('85027') Truth=[0.99]
SYBILS('85029') Truth=[0.92]
SYBILS('85022') Truth=[0.98]
SYBILS('85024') Truth=[0.99]
SYBILS('61075') Truth=[0.99]
SYBILS('85025') Truth=[0.99]
SYBILS('61076') Truth=[0.99]
SYBILS('61073') Truth=[0.99]
SYBILS('85020') Truth=[0.99]
SYBILS('61070') Truth=[0.99]
SYBILS('26730') Truth=[1]
SYBILS('128405') Truth=[0.91]
SYBILS('128401') Truth=[0.91]
SYBILS('104397') Truth=[0.97]
SYBILS('128407') Truth=[0.91]
SYBILS('26723') Truth=[1]
SYBILS('104391') Truth=[0.98]
SYBILS('26727') Truth=[0.98]
SYBILS('128415') Truth=[0.91]
SYBILS('128416') Truth=[0.78]
SYBILS('104387') Truth=[0.98]
SYBILS('104389') Truth=[0.93]
SYBILS('128417') Truth=[0.97]
SYBILS('26712') Truth=[1]
SYBILS('26713') Truth=[0.99]
SYBILS('104381') Truth=[0.95]
SYBILS('26715') Truth=[0.99]
SYBILS('104383') Truth=[0.93]
SYBILS('26718') Truth=[0.99]
SYBILS('128422') Truth=[0.94]
SYBILS('104374') Truth=[0.98]
SYBILS('85095') Truth=[0.97]
SYBILS('85096') Truth=[0.99]
SYBILS('26709') Truth=[1]
SYBILS('104376') Truth=[0.98]
SYBILS('85098') Truth=[0.87]
SYBILS('85091') Truth=[0.98]
SYBILS('26701') Truth=[0.99]
SYBILS('26703') Truth=[1]
SYBILS('26704') Truth=[1]
SYBILS('26706') Truth=[0.99]
SYBILS('128438') Truth=[0.66]
SYBILS('128436') Truth=[0.9]
SYBILS('104363') Truth=[0.98]
SYBILS('104366') Truth=[0.93]
SYBILS('26656') Truth=[0.99]
SYBILS('51614') Truth=[1]
SYBILS('26659') Truth=[1]
SYBILS('51616') Truth=[1]
SYBILS('104481') Truth=[0.97]
SYBILS('51618') Truth=[0.99]
SYBILS('26652') Truth=[1]
SYBILS('26654') Truth=[1]
