--- Atoms: 
T('3801', '7186') Truth=[0]
T('7921', '6846') Truth=[0]
T('238', '9582') Truth=[0.59]
T('748', '3522') Truth=[0.59]
T('6421', '3119') Truth=[0]
T('5316', '8823') Truth=[0.59]
T('8079', '4027') Truth=[0.59]
T('987', '721') Truth=[0.59]
T('6860', '8047') Truth=[0.59]
T('6420', '3119') Truth=[0]
T('749', '3522') Truth=[0.59]
T('4488', '4650') Truth=[0]
T('6539', '947') Truth=[0.59]
T('2926', '2219') Truth=[0.59]
T('9961', '9388') Truth=[0.59]
T('2667', '2606') Truth=[0.59]
T('6469', '6558') Truth=[0.59]
T('9696', '7220') Truth=[0]
T('2667', '2607') Truth=[0.59]
T('3536', '5025') Truth=[0]
T('8861', '1368') Truth=[0.59]
T('8145', '6747') Truth=[0.59]
T('6309', '4910') Truth=[0]
T('4738', '3063') Truth=[0.59]
T('1166', '1537') Truth=[0]
T('4485', '4650') Truth=[0]
T('4870', '7573') Truth=[0.59]
T('4870', '7571') Truth=[0.59]
T('1497', '4220') Truth=[0]
T('7971', '6235') Truth=[0]
T('4767', '7920') Truth=[0.59]
T('4705', '4707') Truth=[0.12]
T('2667', '2614') Truth=[0.59]
T('747', '3513') Truth=[0.59]
T('2892', '6974') Truth=[0]
T('9031', '1873') Truth=[0]
T('6309', '4901') Truth=[0]
T('7969', '7628') Truth=[0]
T('8162', '7805') Truth=[0.59]
T('3155', '5998') Truth=[0.21]
T('7402', '9035') Truth=[0.59]
T('234', '8295') Truth=[0.59]
T('81', '262') Truth=[0.59]
T('2891', '6974') Truth=[0]
T('82', '255') Truth=[0.59]
T('4486', '4650') Truth=[0]
T('3409', '3062') Truth=[0.59]
T('5710', '1924') Truth=[0.59]
T('2667', '2601') Truth=[0.59]
T('1935', '7440') Truth=[0.74]
T('751', '2162') Truth=[0.59]
T('9761', '8631') Truth=[0]
T('541', '2866') Truth=[0.59]
T('3536', '8959') Truth=[0]
T('8920', '2889') Truth=[0]
T('8920', '2888') Truth=[0]
T('6349', '4465') Truth=[0.59]
T('7966', '6315') Truth=[0.59]
T('8920', '2891') Truth=[0]
T('4626', '2171') Truth=[0.59]
T('8920', '2894') Truth=[0.45]
T('3200', '0') Truth=[0.59]
T('8920', '2893') Truth=[0]
T('8920', '2896') Truth=[0]
T('4868', '649') Truth=[0.59]
T('4737', '3063') Truth=[0.59]
T('984', '794') Truth=[0.59]
T('7638', '4910') Truth=[0]
T('4749', '5544') Truth=[0.59]
T('3089', '4555') Truth=[0]
T('2995', '966') Truth=[0]
T('8377', '9724') Truth=[0.59]
T('6260', '4513') Truth=[0.59]
T('4870', '7569') Truth=[0.59]
T('6076', '2378') Truth=[0.59]
T('9761', '7325') Truth=[0]
T('9911', '7379') Truth=[0.59]
T('3534', '5009') Truth=[0.42]
T('6575', '6136') Truth=[0.59]
T('638', '1319') Truth=[0.59]
T('1484', '4387') Truth=[0]
T('6067', '1179') Truth=[0.59]
T('6575', '6135') Truth=[0.59]
T('6575', '6133') Truth=[0.59]
T('6575', '6131') Truth=[0.59]
T('4922', '7832') Truth=[0.59]
T('4922', '7833') Truth=[0.59]
T('3357', '4062') Truth=[0.59]
T('6421', '5711') Truth=[0]
T('1426', '1116') Truth=[0.59]
T('4735', '3063') Truth=[0.59]
T('7844', '5575') Truth=[0]
T('1442', '4837') Truth=[0.59]
T('4922', '7830') Truth=[0]
T('4922', '6509') Truth=[0.03]
T('4092', '1793') Truth=[0.05]
T('6688', '8318') Truth=[0]
T('589', '3658') Truth=[0]
T('6420', '5711') Truth=[0]
T('9761', '9990') Truth=[0]
T('4859', '7756') Truth=[0.59]
T('2054', '8924') Truth=[0.59]
T('983', '794') Truth=[0.59]
T('7118', '7117') Truth=[0.59]
T('4965', '6049') Truth=[0.59]
T('6029', '2909') Truth=[0]
T('8380', '8349') Truth=[0]
T('5976', '4511') Truth=[0]
T('5845', '1281') Truth=[0.59]
T('2669', '2640') Truth=[0.59]
T('1400', '1401') Truth=[0.59]
T('3462', '8910') Truth=[0.59]
T('2669', '2642') Truth=[0.59]
T('1791', '9997') Truth=[0.59]
T('2669', '2643') Truth=[0.59]
T('1791', '9996') Truth=[0.59]
T('2669', '2649') Truth=[0.59]
T('853', '4405') Truth=[0.59]
T('6547', '7858') Truth=[0]
T('4938', '763') Truth=[0]
T('2669', '2647') Truth=[0.59]
