--- Atoms: 
T('4139', '1206') Truth=[0.59]
T('4836', '4847') Truth=[0.67]
T('4836', '4854') Truth=[0.67]
T('4247', '2131') Truth=[0.4]
T('1395', '1391') Truth=[0.57]
T('4836', '4853') Truth=[0.67]
T('4126', '3103') Truth=[0.67]
T('68', '70') Truth=[0.8]
T('17', '4001') Truth=[0.25]
T('17', '4000') Truth=[0.15]
T('1800', '1877') Truth=[0]
T('565', '4299') Truth=[0]
T('3678', '3250') Truth=[0.67]
T('3919', '3930') Truth=[0.67]
T('4051', '3912') Truth=[0]
T('3296', '1586') Truth=[0.44]
T('1833', '3264') Truth=[0.58]
T('33', '754') Truth=[0.67]
T('4527', '2380') Truth=[0.67]
T('1833', '4595') Truth=[0.58]
T('3404', '3808') Truth=[0]
T('3757', '1425') Truth=[0.57]
T('2147', '3808') Truth=[0]
T('3564', '4110') Truth=[0.45]
T('4231', '126') Truth=[0.67]
T('4716', '1430') Truth=[0]
T('4836', '4835') Truth=[0.67]
T('4231', '4050') Truth=[0.67]
T('519', '3519') Truth=[0]
T('2659', '2661') Truth=[0]
T('89', '4026') Truth=[0]
T('2456', '1901') Truth=[0.5]
T('89', '4025') Truth=[0]
T('3032', '315') Truth=[0.37]
T('89', '4028') Truth=[0]
T('1368', '2192') Truth=[0.67]
T('1443', '3423') Truth=[0.47]
T('648', '2416') Truth=[0.67]
T('4155', '1872') Truth=[0.59]
T('4836', '4827') Truth=[0.67]
T('4836', '4828') Truth=[0.67]
T('3422', '4050') Truth=[0.44]
T('4836', '4833') Truth=[0.67]
T('4836', '4831') Truth=[0.67]
T('726', '200') Truth=[0]
T('103', '4456') Truth=[0.4]
T('3757', '2735') Truth=[0.67]
T('3030', '4257') Truth=[0.42]
T('3746', '1575') Truth=[0.67]
T('4836', '4816') Truth=[0.67]
T('4836', '4812') Truth=[0.67]
T('2807', '1388') Truth=[0.42]
T('87', '4028') Truth=[0.67]
T('3422', '126') Truth=[0.44]
T('87', '4024') Truth=[0.34]
T('4273', '2634') Truth=[0.67]
T('87', '4026') Truth=[0]
T('87', '4025') Truth=[0.67]
T('602', '2934') Truth=[0]
T('2671', '3742') Truth=[0.67]
T('3208', '3519') Truth=[0]
T('3677', '3250') Truth=[0.67]
T('3741', '726') Truth=[0]
T('140', '1713') Truth=[0.45]
T('1497', '1064') Truth=[0.15]
T('1497', '1065') Truth=[0.15]
T('1739', '1738') Truth=[0.67]
T('3030', '1190') Truth=[0.53]
T('2965', '51') Truth=[0.53]
T('4836', '4808') Truth=[0.67]
T('3719', '3686') Truth=[0.67]
T('3559', '1130') Truth=[0]
T('3719', '3687') Truth=[0.67]
T('3768', '498') Truth=[0.45]
T('3718', '3698') Truth=[0.57]
T('2863', '694') Truth=[0.67]
T('3266', '2399') Truth=[0.67]
T('4836', '4801') Truth=[0.67]
T('3200', '977') Truth=[0.16]
T('1497', '1060') Truth=[0.15]
T('559', '495') Truth=[0.37]
T('3718', '3694') Truth=[0.67]
T('3718', '3696') Truth=[0.67]
T('276', '277') Truth=[0.67]
T('2229', '2456') Truth=[0.39]
T('2755', '2389') Truth=[0.35]
T('116', '2564') Truth=[0.48]
T('4214', '369') Truth=[0.67]
T('4032', '1506') Truth=[0.49]
T('183', '402') Truth=[0]
T('4006', '2308') Truth=[0.59]
T('582', '2279') Truth=[0.57]
T('2643', '3217') Truth=[0.32]
T('1497', '1058') Truth=[0.15]
T('825', '2931') Truth=[0.38]
T('3719', '3696') Truth=[0.67]
T('3559', '2472') Truth=[0]
T('3719', '3698') Truth=[0.57]
T('3769', '498') Truth=[0]
T('3026', '1297') Truth=[0.67]
T('3719', '3694') Truth=[0.67]
T('1791', '2393') Truth=[0.67]
T('69', '3805') Truth=[0.3]
T('1847', '2642') Truth=[0.67]
T('631', '425') Truth=[0]
T('4506', '444') Truth=[0.08]
T('273', '280') Truth=[0]
T('2643', '1481') Truth=[0.49]
T('68', '3805') Truth=[0.2]
T('1937', '324') Truth=[0]
T('68', '89') Truth=[0]
T('1990', '1321') Truth=[0]
T('2173', '2184') Truth=[0.54]
T('2753', '2390') Truth=[0]
T('2932', '3305') Truth=[0.24]
T('620', '4495') Truth=[0.11]
T('4506', '410') Truth=[0.11]
T('2709', '2917') Truth=[0]
T('3767', '498') Truth=[0.43]
T('726', '230') Truth=[0]
T('69', '89') Truth=[0]
T('223', '2147') Truth=[0.17]
T('3559', '1129') Truth=[0]
T('4865', '3189') Truth=[0.67]
T('2256', '1621') Truth=[0.24]
T('69', '87') Truth=[0]
T('1491', '230') Truth=[0]
T('1817', '2187') Truth=[0.67]
T('3718', '3686') Truth=[0.67]
T('2709', '2912') Truth=[0]
T('3718', '3687') Truth=[0.67]
T('2837', '4095') Truth=[0]
T('3437', '3435') Truth=[0.56]
T('4504', '444') Truth=[0.2]
T('1389', '4503') Truth=[0.5]
T('4497', '1319') Truth=[0.51]
T('2229', '2445') Truth=[0.67]
T('4151', '1872') Truth=[0.47]
T('2726', '1435') Truth=[0.67]
T('1342', '1141') Truth=[0]
T('4330', '3304') Truth=[0.52]
T('4210', '1236') Truth=[0.58]
T('4033', '4651') Truth=[0]
T('1954', '4081') Truth=[0.15]
T('4033', '4653') Truth=[0]
T('1124', '1973') Truth=[0.67]
T('1587', '4854') Truth=[0.16]
T('1188', '2509') Truth=[0]
T('1587', '4853') Truth=[0.16]
T('185', '2509') Truth=[0.5]
T('1587', '4856') Truth=[0.16]
T('4992', '4718') Truth=[0]
T('2678', '3751') Truth=[0.33]
T('2837', '2328') Truth=[0.59]
T('3422', '4905') Truth=[0.44]
T('631', '2564') Truth=[0.15]
T('2762', '4080') Truth=[0.54]
T('1789', '4287') Truth=[0.16]
T('3647', '3632') Truth=[0.31]
T('1814', '1744') Truth=[0.67]
T('2229', '4287') Truth=[0.16]
T('3587', '868') Truth=[0.24]
T('1587', '4847') Truth=[0.16]
T('74', '230') Truth=[0]
T('3422', '4911') Truth=[0.44]
T('631', '2572') Truth=[0.15]
T('3422', '4916') Truth=[0.44]
T('4433', '1294') Truth=[0.59]
T('3422', '4913') Truth=[0.44]
T('4865', '1410') Truth=[0.19]
T('1956', '4081') Truth=[0.15]
T('1481', '1226') Truth=[0.43]
T('1587', '3543') Truth=[0.07]
T('1587', '4875') Truth=[0.16]
T('4032', '4653') Truth=[0]
T('1587', '4878') Truth=[0.16]
T('74', '200') Truth=[0]
T('4032', '4651') Truth=[0]
T('2390', '2234') Truth=[0.24]
T('1587', '4872') Truth=[0.16]
T('3125', '1877') Truth=[0]
T('1587', '4873') Truth=[0.16]
T('183', '2509') Truth=[0]
T('1587', '4871') Truth=[0.16]
T('4836', '977') Truth=[0.14]
T('1582', '982') Truth=[0.51]
T('3803', '2221') Truth=[0.47]
