13_45	45_76
47_42	42_312
0_64	64_251
9_70	70_180
67_73	73_218
67_73	73_259
74_23	23_363
45_76	76_387
45_76	76_589
82_43	43_415
32_82	82_43
89_79	79_106
90_25	25_249
95_47	47_42
8_97	97_537
8_97	97_339
8_97	97_268
8_97	97_8
97_8	8_352
97_8	8_481
98_7	7_153
100_52	52_313
15_103	103_377
79_106	106_209
79_106	106_26
87_108	108_508
72_111	111_72
93_114	114_590
24_118	118_36
118_36	36_51
54_119	119_587
37_120	120_205
37_120	120_154
37_120	120_569
12_122	122_307
12_122	122_12
122_12	12_423
126_68	68_279
68_126	126_68
68_126	126_146
31_129	129_208
131_73	73_218
131_73	73_259
134_24	24_118
56_136	136_248
40_142	142_54
142_54	54_119
54_142	142_54
145_27	27_334
27_145	145_27
145_27	27_177
27_145	145_482
130_146	146_130
146_130	130_441
126_146	146_130
130_146	146_126
146_126	126_68
126_146	146_126
65_148	148_341
55_150	150_198
150_55	55_281
150_55	55_602
55_150	150_55
55_150	150_330
88_151	151_19
69_151	151_19
151_19	19_568
88_151	151_596
69_151	151_596
128_152	152_366
128_152	152_379
7_153	153_7
7_153	153_171
120_154	154_564
154_120	120_569
154_120	120_205
120_154	154_120
156_57	57_269
157_117	117_559
159_11	11_4
101_159	159_11
160_115	115_427
53_160	160_115
166_156	156_57
20_169	169_321
170_33	33_597
33_170	170_33
170_56	56_136
33_170	170_56
153_171	171_78
171_78	78_534
78_171	171_78
153_171	171_153
78_171	171_153
171_153	153_7
174_110	110_238
14_176	176_535
177_95	95_377
177_95	95_47
27_177	177_95
179_138	138_255
70_180	180_517
181_0	0_64
124_181	181_0
88_186	186_287
62_186	186_287
88_186	186_116
62_186	186_116
186_116	116_486
88_186	186_439
62_186	186_439
104_188	188_406
104_188	188_104
188_104	104_493
104_188	188_432
21_193	193_218
193_90	90_25
21_193	193_90
196_60	60_222
150_198	198_150
198_150	150_55
198_150	150_330
5_201	201_233
202_65	65_148
203_127	127_382
135_204	204_476
135_204	204_273
120_205	205_550
120_205	205_466
205_120	120_569
120_205	205_120
205_120	120_154
120_205	205_508
165_206	206_315
39_208	208_245
129_208	208_245
39_208	208_430
129_208	208_430
39_208	208_39
129_208	208_39
106_209	209_53
209_53	53_160
212_202	202_65
216_8	8_97
216_8	8_352
216_8	8_481
73_218	218_88
218_88	88_186
218_88	88_151
193_218	218_88
73_218	218_282
193_218	218_282
222_203	203_127
60_222	222_203
223_157	157_117
224_150	150_198
224_150	150_55
224_150	150_330
109_228	228_102
228_102	102_393
228_102	102_555
109_228	228_346
229_54	54_119
229_54	54_142
140_229	229_54
230_133	133_580
231_158	158_510
232_88	88_186
172_232	232_88
232_88	88_151
201_233	233_179
233_179	179_138
236_185	185_297
237_60	60_222
211_239	239_194
239_194	194_293
211_239	239_71
239_71	71_545
242_80	80_410
244_131	131_73
245_1	1_17
1_245	245_1
208_245	245_1
245_208	208_430
245_208	208_39
1_245	245_208
208_245	245_208
246_163	163_362
59_246	246_163
189_247	247_360
136_248	248_588
25_249	249_448
249_67	67_73
25_249	249_67
250_197	197_507
64_251	251_442
64_251	251_283
252_85	85_524
253_50	50_365
99_253	253_50
254_188	188_406
254_188	188_104
254_188	188_432
138_255	255_347
257_84	84_398
258_254	254_188
73_259	259_465
260_166	166_156
262_256	256_277
263_234	234_559
268_97	97_339
97_268	268_97
49_268	268_97
268_97	97_537
268_97	97_8
97_268	268_553
49_268	268_553
269_28	28_388
57_269	269_28
271_122	122_307
271_122	122_12
272_77	77_306
273_101	101_159
273_101	101_400
204_273	273_101
91_275	275_516
261_275	275_516
91_275	275_35
275_35	35_598
261_275	275_35
256_277	277_124
277_124	124_394
277_124	124_181
123_278	278_570
68_279	279_68
279_68	68_126
66_279	279_68
68_279	279_66
279_66	66_293
66_279	279_66
279_258	258_443
279_258	258_254
68_279	279_258
66_279	279_258
55_281	281_108
281_108	108_508
55_281	281_292
218_282	282_69
21_282	282_69
282_69	69_151
251_283	283_87
283_87	87_108
251_283	283_581
34_284	284_511
34_284	284_164
287_186	186_116
186_287	287_186
287_186	186_439
186_287	287_556
132_290	290_460
281_292	292_109
292_109	109_228
194_293	293_18
66_293	293_18
194_293	293_66
66_293	293_66
293_66	66_279
294_225	225_566
294_225	225_335
125_296	296_436
125_296	296_125
296_125	125_443
185_297	297_184
297_184	184_337
299_132	132_290
300_123	123_278
302_34	34_386
302_34	34_284
305_152	152_379
305_152	152_366
280_305	305_152
280_305	305_303
77_306	306_422
77_306	306_456
77_306	306_77
122_307	307_448
308_294	294_225
274_308	308_294
309_300	300_123
311_144	144_527
312_15	15_103
187_312	312_15
42_312	312_15
187_312	312_187
312_187	187_592
42_312	312_187
52_313	313_109
313_109	109_228
315_185	185_297
206_315	315_185
10_317	317_403
318_214	214_509
298_319	319_595
94_320	320_221
320_221	221_2
169_321	321_242
321_242	242_80
323_224	224_150
150_330	330_560
331_9	9_70
96_331	331_9
334_27	27_145
200_334	334_27
27_334	334_27
334_27	27_177
334_324	324_243
200_334	334_324
27_334	334_324
335_1	1_245
335_1	1_17
225_335	335_1
184_337	337_174
337_174	174_110
184_337	337_113
337_113	113_445
184_337	337_383
97_339	339_216
216_339	339_216
339_216	216_8
97_339	339_386
216_339	339_386
340_323	323_224
343_298	298_319
344_165	165_206
344_165	165_504
286_344	344_165
16_345	345_309
345_309	309_300
228_346	346_224
346_224	224_150
347_192	192_440
255_347	347_192
349_322	322_549
350_96	96_331
270_351	351_332
351_332	332_540
195_351	351_332
8_352	352_8
352_8	8_97
352_8	8_481
8_352	352_310
352_310	310_48
356_241	241_407
336_358	358_139
247_360	360_135
360_135	135_204
362_204	204_476
362_204	204_273
163_362	362_204
23_363	363_488
342_364	364_235
364_235	235_397
50_365	365_237
365_237	237_60
152_366	366_137
137_366	366_137
152_366	366_411
137_366	366_411
366_83	83_178
152_366	366_83
137_366	366_83
368_121	121_492
369_280	280_305
217_370	370_515
38_371	371_573
38_371	371_470
38_371	371_38
371_38	38_513
38_371	371_291
212_375	375_464
375_95	95_377
212_375	375_95
375_95	95_47
63_376	376_5
376_5	5_201
95_377	377_212
377_212	212_375
377_212	212_202
103_377	377_212
95_377	377_168
103_377	377_168
95_377	377_390
103_377	377_390
378_264	264_435
152_379	379_111
379_111	111_72
380_276	276_105
127_382	382_161
382_161	161_444
384_97	97_339
384_97	97_268
384_97	97_8
384_97	97_537
385_312	312_15
385_312	312_187
34_386	386_339
302_386	386_339
339_386	386_339
386_339	339_216
34_386	386_302
386_302	302_219
302_386	386_302
339_386	386_302
386_302	302_34
76_387	387_551
388_338	338_3
28_388	388_338
28_388	388_483
389_190	190_167
390_212	212_375
390_212	212_202
377_390	390_212
377_390	390_525
391_265	265_544
392_313	313_109
215_392	392_313
393_195	195_351
102_393	393_195
124_394	394_584
395_91	91_275
396_59	59_246
397_311	311_144
235_397	397_311
398_210	210_538
58_398	398_210
84_398	398_210
58_398	398_601
84_398	398_601
402_16	16_345
359_402	402_16
317_403	403_227
403_227	227_438
329_404	404_520
329_404	404_416
92_406	406_188
406_188	188_432
406_188	188_104
188_406	406_188
92_406	406_92
406_92	92_493
188_406	406_92
241_407	407_537
241_407	407_304
408_301	301_512
367_409	409_367
409_367	367_597
409_147	147_420
367_409	409_147
80_410	410_230
410_230	230_133
366_411	411_521
412_325	325_518
374_412	412_325
412_374	374_525
374_412	412_374
413_34	34_386
266_413	413_34
413_34	34_284
183_413	413_34
414_10	10_317
414_10	10_495
43_415	415_579
43_415	415_240
415_240	240_489
404_416	416_162
405_416	416_162
381_417	417_463
29_417	417_463
419_287	287_556
419_287	287_186
306_422	422_600
422_306	306_77
422_306	306_456
306_422	422_306
12_423	423_573
423_12	12_122
12_423	423_12
419_425	425_502
426_107	107_482
107_426	426_107
115_427	427_437
428_27	27_145
428_27	27_334
428_27	27_177
430_173	173_213
208_430	430_173
433_272	272_77
140_433	433_272
434_274	274_308
354_434	434_274
437_76	76_387
437_76	76_589
427_437	437_76
438_61	61_484
227_438	438_61
440_385	385_312
192_440	440_385
389_441	441_130
441_130	130_146
130_441	441_130
389_441	441_389
441_389	389_190
130_441	441_389
251_442	442_497
258_443	443_258
125_443	443_258
443_258	258_254
258_443	443_125
443_125	125_296
125_443	443_125
444_20	20_169
161_444	444_20
113_445	445_395
445_395	395_91
447_352	352_310
447_352	352_8
429_447	447_352
448_249	249_67
249_448	448_249
307_448	448_249
448_271	271_122
249_448	448_271
307_448	448_271
357_450	450_428
450_428	428_27
451_296	296_125
451_296	296_436
452_408	408_301
189_453	453_541
353_453	453_541
454_368	368_121
455_355	355_289
456_182	182_481
306_456	456_182
457_30	30_149
424_457	457_30
458_134	134_24
290_460	460_526
461_319	319_595
462_371	371_38
462_371	371_470
462_371	371_573
462_371	371_291
417_463	463_499
417_463	463_505
375_464	464_501
259_465	465_46
466_205	205_550
205_466	466_205
466_205	205_508
466_205	205_120
467_81	81_550
81_467	467_81
81_467	467_599
468_244	244_131
469_97	97_339
469_97	97_268
469_97	97_8
469_97	97_537
371_470	470_579
470_371	371_38
371_470	470_371
470_371	371_573
470_371	371_291
471_250	250_197
226_471	471_250
183_472	472_183
472_183	183_413
326_473	473_531
475_32	32_82
476_288	288_348
204_476	476_288
328_477	477_155
477_155	155_494
478_170	170_56
478_170	170_33
474_478	478_170
479_94	94_320
37_480	480_37
480_37	37_120
141_480	480_37
481_97	97_339
182_481	481_97
481_97	97_268
481_97	97_8
8_481	481_97
481_97	97_537
481_140	140_229
182_481	481_140
8_481	481_140
481_140	140_433
107_482	482_145
145_482	482_145
482_145	145_27
107_482	482_107
482_107	107_426
145_482	482_107
388_483	483_587
388_483	483_418
372_485	485_586
487_24	24_118
363_488	488_276
488_276	276_105
240_489	489_175
207_491	491_422
491_422	422_306
491_422	422_600
492_366	366_137
121_492	492_366
492_366	366_411
492_366	366_83
492_252	252_85
121_492	492_252
493_104	104_188
92_493	493_104
104_493	493_104
493_92	92_406
92_493	493_92
104_493	493_92
494_295	295_577
155_494	494_295
495_118	118_36
10_495	495_118
495_342	342_364
10_495	495_342
442_497	497_565
498_316	316_533
463_499	499_350
499_350	350_96
500_388	388_483
500_388	388_338
333_500	500_388
501_449	449_591
464_501	501_449
425_502	502_585
22_503	503_359
503_359	359_402
165_504	504_236
504_236	236_185
505_86	86_542
463_505	505_86
112_506	506_13
506_13	13_45
507_6	6_523
197_507	507_6
508_205	205_550
108_508	508_205
508_205	205_466
205_508	508_205
508_205	205_120
108_508	508_108
205_508	508_108
108_508	508_378
508_378	378_264
205_508	508_378
158_510	510_285
284_511	511_211
511_211	211_239
301_512	512_375
512_375	375_464
512_375	375_95
513_38	38_371
38_513	513_38
38_513	513_545
44_514	514_599
515_405	405_416
370_515	515_405
515_404	404_416
515_404	404_520
370_515	515_404
516_421	421_509
275_516	516_421
180_517	517_519
325_518	518_21
518_21	21_282
518_21	21_193
519_361	361_539
517_519	519_361
404_520	520_547
220_520	520_547
522_10	10_317
522_10	10_495
446_522	522_10
6_523	523_431
523_431	431_562
85_524	524_479
524_479	479_94
374_525	525_374
390_525	525_374
525_374	374_412
374_525	525_390
525_390	390_212
390_525	525_390
460_526	526_572
144_527	527_558
528_258	258_443
528_258	258_254
