--- Atoms: 
CONJESTED('879_664') Truth=[1]
CONJESTED('398_62') Truth=[1]
CONJESTED('50_122') Truth=[1]
CONJESTED('468_404') Truth=[1]
CONJESTED('919_714') Truth=[1]
CONJESTED('172_479') Truth=[1]
CONJESTED('280_1129') Truth=[1]
CONJESTED('42_128') Truth=[1]
CONJESTED('617_1371') Truth=[1]
CONJESTED('958_814') Truth=[1]
CONJESTED('129_827') Truth=[1]
CONJESTED('1014_389') Truth=[1]
CONJESTED('549_400') Truth=[1]
CONJESTED('1364_612') Truth=[1]
CONJESTED('1173_114') Truth=[1]
CONJESTED('890_97') Truth=[1]
CONJESTED('323_1272') Truth=[1]
CONJESTED('734_840') Truth=[1]
CONJESTED('742_612') Truth=[1]
CONJESTED('305_66') Truth=[1]
CONJESTED('607_311') Truth=[1]
CONJESTED('711_507') Truth=[1]
CONJESTED('1036_696') Truth=[1]
CONJESTED('1337_1263') Truth=[1]
CONJESTED('1379_971') Truth=[1]
CONJESTED('1251_718') Truth=[1]
CONJESTED('1025_1308') Truth=[1]
CONJESTED('1232_284') Truth=[1]
CONJESTED('1232_1210') Truth=[1]
CONJESTED('273_911') Truth=[1]
CONJESTED('1031_167') Truth=[1]
CONJESTED('566_1003') Truth=[1]
CONJESTED('446_321') Truth=[1]
CONJESTED('857_385') Truth=[1]
CONJESTED('1304_272') Truth=[1]
CONJESTED('185_713') Truth=[1]
CONJESTED('424_1141') Truth=[1]
CONJESTED('679_586') Truth=[1]
CONJESTED('248_900') Truth=[1]
CONJESTED('960_27') Truth=[1]
CONJESTED('436_1046') Truth=[1]
CONJESTED('1057_50') Truth=[1]
CONJESTED('421_404') Truth=[1]
CONJESTED('133_388') Truth=[1]
CONJESTED('1100_510') Truth=[1]
CONJESTED('807_877') Truth=[1]
CONJESTED('2_589') Truth=[1]
CONJESTED('42_581') Truth=[1]
CONJESTED('751_857') Truth=[1]
CONJESTED('1017_1374') Truth=[1]
CONJESTED('147_688') Truth=[1]
CONJESTED('811_182') Truth=[1]
CONJESTED('676_955') Truth=[1]
CONJESTED('270_268') Truth=[1]
CONJESTED('460_949') Truth=[1]
CONJESTED('171_634') Truth=[1]
CONJESTED('1269_1130') Truth=[1]
CONJESTED('243_854') Truth=[1]
CONJESTED('145_1227') Truth=[1]
CONJESTED('541_934') Truth=[1]
CONJESTED('66_236') Truth=[1]
CONJESTED('647_254') Truth=[1]
CONJESTED('509_95') Truth=[1]
CONJESTED('1299_1075') Truth=[1]
CONJESTED('899_1089') Truth=[1]
CONJESTED('434_921') Truth=[1]
CONJESTED('225_1240') Truth=[1]
CONJESTED('225_35') Truth=[1]
CONJESTED('901_399') Truth=[1]
CONJESTED('998_763') Truth=[1]
CONJESTED('860_12') Truth=[1]
CONJESTED('35_1314') Truth=[1]
CONJESTED('1076_1375') Truth=[1]
CONJESTED('1242_0') Truth=[1]
CONJESTED('1326_121') Truth=[1]
CONJESTED('685_706') Truth=[1]
CONJESTED('929_777') Truth=[1]
CONJESTED('552_336') Truth=[1]
CONJESTED('236_647') Truth=[1]
CONJESTED('1230_890') Truth=[1]
CONJESTED('286_29') Truth=[1]
CONJESTED('1318_579') Truth=[1]
CONJESTED('374_65') Truth=[1]
CONJESTED('1058_727') Truth=[1]
CONJESTED('692_1178') Truth=[1]
CONJESTED('1131_816') Truth=[1]
CONJESTED('390_366') Truth=[1]
CONJESTED('744_631') Truth=[1]
CONJESTED('1053_265') Truth=[1]
CONJESTED('339_913') Truth=[1]
CONJESTED('733_863') Truth=[1]
CONJESTED('747_929') Truth=[1]
CONJESTED('799_680') Truth=[1]
CONJESTED('512_891') Truth=[1]
CONJESTED('299_261') Truth=[1]
CONJESTED('143_1193') Truth=[1]
CONJESTED('752_225') Truth=[1]
CONJESTED('263_1105') Truth=[1]
CONJESTED('726_835') Truth=[1]
CONJESTED('360_1376') Truth=[1]
CONJESTED('1330_1272') Truth=[1]
CONJESTED('254_1108') Truth=[1]
CONJESTED('114_732') Truth=[1]
CONJESTED('289_848') Truth=[1]
CONJESTED('1069_174') Truth=[1]
CONJESTED('492_869') Truth=[1]
CONJESTED('1013_570') Truth=[1]
CONJESTED('202_1097') Truth=[1]
CONJESTED('578_915') Truth=[1]
CONJESTED('965_822') Truth=[0.83]
CONJESTED('935_788') Truth=[1]
CONJESTED('873_780') Truth=[1]
CONJESTED('1164_1125') Truth=[0.99]
CONJESTED('584_218') Truth=[1]
CONJESTED('859_374') Truth=[1]
CONJESTED('371_339') Truth=[1]
CONJESTED('573_488') Truth=[1]
CONJESTED('1280_593') Truth=[1]
CONJESTED('491_432') Truth=[1]
CONJESTED('977_861') Truth=[1]
CONJESTED('598_512') Truth=[1]
CONJESTED('972_361') Truth=[1]
CONJESTED('628_886') Truth=[1]
CONJESTED('678_710') Truth=[1]
CONJESTED('592_1234') Truth=[1]
CONJESTED('1061_881') Truth=[1]
CONJESTED('405_70') Truth=[1]
CONJESTED('316_489') Truth=[1]
CONJESTED('885_642') Truth=[1]
CONJESTED('809_842') Truth=[1]
CONJESTED('105_505') Truth=[1]
CONJESTED('962_508') Truth=[1]
CONJESTED('59_235') Truth=[1]
CONJESTED('205_726') Truth=[1]
CONJESTED('1352_51') Truth=[1]
CONJESTED('444_327') Truth=[1]
CONJESTED('1264_358') Truth=[1]
CONJESTED('1266_53') Truth=[1]
CONJESTED('843_1365') Truth=[1]
CONJESTED('315_205') Truth=[1]
CONJESTED('1089_1035') Truth=[1]
CONJESTED('1170_754') Truth=[1]
CONJESTED('386_458') Truth=[1]
CONJESTED('139_292') Truth=[1]
CONJESTED('1192_624') Truth=[1]
CONJESTED('278_126') Truth=[0.91]
CONJESTED('1315_956') Truth=[1]
CONJESTED('664_879') Truth=[1]
CONJESTED('194_165') Truth=[1]
CONJESTED('643_379') Truth=[1]
CONJESTED('674_1368') Truth=[1]
CONJESTED('23_1215') Truth=[1]
CONJESTED('206_556') Truth=[1]
CONJESTED('1108_455') Truth=[1]
CONJESTED('70_405') Truth=[1]
CONJESTED('1216_665') Truth=[1]
CONJESTED('1011_1131') Truth=[1]
CONJESTED('527_972') Truth=[1]
CONJESTED('1209_231') Truth=[1]
CONJESTED('689_396') Truth=[1]
CONJESTED('192_1366') Truth=[1]
CONJESTED('43_301') Truth=[1]
CONJESTED('712_1069') Truth=[1]
CONJESTED('850_409') Truth=[1]
CONJESTED('400_549') Truth=[1]
CONJESTED('1320_883') Truth=[1]
CONJESTED('561_1343') Truth=[1]
CONJESTED('37_158') Truth=[1]
