--- Atoms: 
CONJESTED('879_664') Truth=[0.05]
CONJESTED('708_11') Truth=[0.43]
CONJESTED('1113_58') Truth=[0.5]
CONJESTED('468_404') Truth=[0.16]
CONJESTED('919_714') Truth=[0.06]
CONJESTED('280_1129') Truth=[0.42]
CONJESTED('42_128') Truth=[0.54]
CONJESTED('617_1371') Truth=[1]
CONJESTED('958_814') Truth=[0.02]
CONJESTED('1237_799') Truth=[0.45]
CONJESTED('1014_389') Truth=[0.22]
CONJESTED('238_283') Truth=[0.13]
CONJESTED('1364_612') Truth=[0.57]
CONJESTED('100_414') Truth=[0.5]
CONJESTED('278_188') Truth=[0.19]
CONJESTED('1173_114') Truth=[0.42]
CONJESTED('890_97') Truth=[0.31]
CONJESTED('15_946') Truth=[0.16]
CONJESTED('323_1272') Truth=[0.2]
CONJESTED('734_840') Truth=[0.48]
CONJESTED('125_121') Truth=[0.29]
CONJESTED('742_612') Truth=[0.09]
CONJESTED('305_66') Truth=[0.28]
CONJESTED('886_604') Truth=[0.52]
CONJESTED('393_808') Truth=[0.33]
CONJESTED('56_893') Truth=[0.61]
CONJESTED('1328_159') Truth=[0.16]
CONJESTED('162_872') Truth=[1]
CONJESTED('936_526') Truth=[1]
CONJESTED('1379_971') Truth=[0.5]
CONJESTED('1251_718') Truth=[0.52]
CONJESTED('935_960') Truth=[0.17]
CONJESTED('1284_85') Truth=[0.42]
CONJESTED('1025_1308') Truth=[0.5]
CONJESTED('1232_284') Truth=[0.11]
CONJESTED('693_730') Truth=[0.7]
CONJESTED('1022_133') Truth=[0.26]
CONJESTED('1232_1210') Truth=[0.1]
CONJESTED('489_914') Truth=[1]
CONJESTED('273_911') Truth=[1]
CONJESTED('1031_167') Truth=[0.05]
CONJESTED('566_1003') Truth=[0.12]
CONJESTED('242_800') Truth=[0.01]
CONJESTED('446_321') Truth=[0.19]
CONJESTED('857_385') Truth=[0.42]
CONJESTED('1304_272') Truth=[0.42]
CONJESTED('991_874') Truth=[0]
CONJESTED('185_713') Truth=[1]
CONJESTED('290_510') Truth=[1]
CONJESTED('422_210') Truth=[0.05]
CONJESTED('646_1221') Truth=[0.41]
CONJESTED('424_1141') Truth=[0.12]
CONJESTED('679_586') Truth=[0.13]
CONJESTED('960_27') Truth=[0.42]
CONJESTED('421_404') Truth=[1]
CONJESTED('226_1075') Truth=[0.15]
CONJESTED('647_236') Truth=[0.44]
CONJESTED('492_415') Truth=[0.11]
CONJESTED('133_388') Truth=[0.43]
CONJESTED('1100_510') Truth=[0.05]
CONJESTED('807_877') Truth=[0.23]
CONJESTED('42_581') Truth=[0.42]
CONJESTED('751_857') Truth=[0.16]
CONJESTED('1017_1374') Truth=[0.5]
CONJESTED('147_688') Truth=[0.04]
CONJESTED('887_654') Truth=[1]
CONJESTED('811_182') Truth=[1]
CONJESTED('676_955') Truth=[0.46]
CONJESTED('921_678') Truth=[0.41]
CONJESTED('277_152') Truth=[0.16]
CONJESTED('1265_1044') Truth=[0.48]
CONJESTED('984_41') Truth=[0.5]
CONJESTED('329_908') Truth=[0]
CONJESTED('583_237') Truth=[0.39]
CONJESTED('171_634') Truth=[0.67]
CONJESTED('557_850') Truth=[0]
CONJESTED('721_333') Truth=[0]
CONJESTED('243_854') Truth=[0.33]
CONJESTED('1360_118') Truth=[0.22]
CONJESTED('17_365') Truth=[0.16]
CONJESTED('66_236') Truth=[0.83]
CONJESTED('647_254') Truth=[0.29]
CONJESTED('1228_1380') Truth=[0.5]
CONJESTED('398_1079') Truth=[0.93]
CONJESTED('15_752') Truth=[0.77]
CONJESTED('597_514') Truth=[0.28]
CONJESTED('509_95') Truth=[1]
CONJESTED('899_1089') Truth=[0.47]
CONJESTED('259_1276') Truth=[0.05]
CONJESTED('848_368') Truth=[0]
CONJESTED('870_1350') Truth=[0.01]
